ID,District,Season,Year,Crop,AvgAirTemp,MinAirTemp,MaxAirTemp,AvgTempSkew,AvgTempKurt,AvgRelHum,AvgRelHumSkew,AvgRelHumKurt,AvgDewPt,AvgDewPtSkew,AvgDewPtKurt,AvgPrec,AvgPrecSkew,AvgPrecKurt,AvgWind,Yield
362,Banswara,Kharif,1998,Jowar,28.33495935,18.3,38.2,0.179071667,-1.0262775,61.9097561,-0.248111676,-0.520840943,19.84390244,-1.763680621,3.796894399,,,3.796894399,4.23495935,0.29
833,Dharwad,Kharif,1999,Mesta,25.01222222,19.2,39.7,1.485647613,1.358368075,74.91111111,-1.259815651,0.550318592,19.91555556,-1.594277208,1.85953609,6.954444444,10.48672863,3.203949762,4.544444444,2.71
2535,Gulberga,Whole year,2011,Sugarcane,26.09837398,38.3,20.3,0.538094167,-0.230734857,74.50487805,-0.417417357,-0.612204055,21.19430894,-0.720334958,0.060830446,,,0.060830446,6.360162602000001,40.85
2078,Dharwad,Rabi,2000,Gram,24.41888889,15.4,33.5,1.123204182,1.192332412,77.65777778,-0.978912232,0.239416698,20.21111111,-1.468153028,3.732966261,6.424444444,12.28696598,3.183543784,3.163333333,0.59
1236,Coimbatore,Whole year,1997,Tobacco,25.66126374,14.4,37.7,0.347260931,0.17198915399999998,66.48214286,-0.547104348,-0.6831929090000001,18.58736264,-1.294170794,1.307984407,5.085714286,2.195893884,4.533216811,3.428571429,1.48
1910,Banglore,Whole year,2001,Coriander,27.35631868,23.3,31.1,-0.087404173,-0.376810564,73.23846154,-1.131344559,1.15927486,22.12445055,-0.929414257,0.391204538,2.022802198,5.495140335,35.93095586,5.953296703,0.14
2729,Hisar,Kharif,2003,Moth,27.53290323,8.1,44.0,0.393724905,0.137722548,66.95354839,-0.629618856,-1.183308175,20.00903226,-1.063724557,-0.270642905,3.387096774,3.391409264,-0.270642905,1.850322581,0.05
1465,Tonk,Rabi,2009,Rapeseed & mustard,29.34715447,18.7,43.3,0.803384186,-0.500556641,63.25365854,-0.537152165,-0.930829619,20.53739837,-1.285970147,1.291102494,,,1.291102494,3.112195122,0.3
2671,Ahmedabad,Rabi,2010,Jowar,25.44768212,13.1,42.0,-0.011995991,-0.686300118,35.22649007,0.848923832,0.489039636,7.943046357999999,0.13216088,-0.5773184610000001,,,-0.5773184610000001,2.694701987,1.1
2451,Banswara,Kharif,2011,Groundnut,26.6796748,16.7,36.4,0.8854486229999999,1.109106657,75.73414634,-0.76733806,-0.091980744,21.92845528,-1.164563114,1.912524106,7.4,2.350191518,1.912524106,3.424390244,1.93
2209,Banglore,Whole year,2011,Garlic,27.91126374,25.0,30.2,-0.613540624,-0.030985126,77.28653846,-0.541301606,-0.8064110640000001,23.61840659,-0.694524488,-0.489871394,,,,5.719505495,1.22
925,Jaipur,Rabi,2009,Rapeseed & mustard,29.34715447,18.7,43.3,0.803384186,-0.500556641,63.25365854,-0.537152165,-0.930829619,20.53739837,-1.285970147,1.291102494,,,1.291102494,3.112195122,1.03
194,Bhagalpur,Whole year,2000,Banana,12.72794521,-7.3,34.9,-0.194471019,-1.190278044,55.85534247,-0.048152166,-0.94320761,3.284657534,0.397053398,-0.889444149,,,-0.889444149,2.633424658,9.34
2424,Ahmedabad,Kharif,2005,Dry chillies,29.03660131,21.4,40.2,0.38775255,-0.232325057,64.1254902,-0.419367681,-1.170781157,20.65947712,-1.337119937,1.20230288,7.939869281,3.999840663,1.20230288,3.2686274510000004,0.8
2733,Ahmedabad,Whole year,2006,Dry chillies,26.7,22.2,31.4,,,38.3,,,11.3,,,1.4,,,4.3,1.0
1004,Gulberga,Summer,2007,Onion,29.75491803,19.5,43.0,0.299550212,-0.932084591,40.41721311,0.9011101,0.149840364,13.81803279,0.246962395,-0.927238965,0.455737705,4.931201785,-0.927238965,2.951639344,8.45
2654,Banglore,Kharif,2001,Horse-gram,24.92777778,14.8,32.9,0.208158066,0.007247946,77.075,-0.610555534,0.176430773,20.56851852,-1.86735232,5.2137818010000005,5.774074074,2.581049291,7.379202472,3.607407407,0.65
2235,Jalna,Kharif,2000,Other kharif pulses,25.4826087,16.6,35.0,0.686813103,0.241149514,73.58478261,-0.365366486,-1.1346972359999998,20.26086957,-0.23522155600000005,-0.886378963,7.744565217000001,3.055690564,11.22299383,4.109782609,0.32
1278,Ahmedabad,Kharif,2004,Groundnut,27.93464052,15.7,40.0,0.743458077,0.950262555,68.44052288,-0.919108131,-0.126934293,20.96666667,-1.98698988,3.35498438,5.537908497,4.487041673999999,3.35498438,3.0405228760000003,3.0
708,Banswara,Kharif,2008,Soyabean,26.99512195,14.6,40.8,0.979617743,0.8570249809999999,70.60081301,-0.654625063,-0.351846341,20.73577236,-1.651449815,2.483230716,,,2.483230716,3.479674797,0.7
2598,Bhagalpur,Kharif,2001,Arhar/tur,22.67804878,11.1,34.5,0.210272384,-0.646769278,42.28943089,0.7496362759999999,-0.586832507,7.968292683,0.089716611,-1.087854494,,,-1.087854494,2.371544715,1.45
1317,Gulberga,Rabi,2000,Rice,25.49504132,12.7,35.6,0.151152688,-0.921780076,41.22892562,1.707084939,3.313715414,10.79008264,0.163517327,-0.5379559629999999,0.792561983,5.322264685,-0.5379559629999999,2.258677686,2.14
1573,Coimbatore,Whole year,2003,Sugarcane,25.07472527,15.5,36.4,0.49755044,0.4302976670000001,70.37554945,-0.6385139879999999,-0.636348667,19.0793956,-0.892071046,-0.118512903,3.956043956,3.883219166,18.65577958,3.472252747,87.06
1490,Jalna,Kharif,2011,Arhar/tur,25.03586957,20.5,35.8,0.8600197470000001,0.89903342,80.50869565,-1.07590961,1.188269778,21.45978261,-0.640254432,0.519071736,,,,5.966304348,0.53
546,Ahmedabad,Kharif,2010,Groundnut,29.3,15.0,45.7,1.893076445,4.2267865539999985,72.30522876,-0.7258764409999999,-0.236032636,23.63921569,-1.383345389,1.454203648,,,1.454203648,4.058169935,1.0
880,Coimbatore,Whole year,1997,Urad,25.66126374,14.4,37.7,0.347260931,0.17198915399999998,66.48214286,-0.547104348,-0.6831929090000001,18.58736264,-1.294170794,1.307984407,5.085714286,2.195893884,4.533216811,3.428571429,0.47
582,Gulberga,Kharif,2000,Niger seed,26.01300813,36.2,13.9,0.636473445,-0.634396562,71.80569106,-0.490514361,-1.094559345,20.24796748,-0.5648642629999999,-0.413182368,5.829268292999999,4.3645677780000005,-0.413182368,4.126829268,0.12
1599,Dharwad,Kharif,2005,Potato,25.00384615,15.0,37.6,1.187661969,1.02922646,63.55576923,-0.275426884,-1.390685832,16.97335165,-0.77029993,-0.659753383,3.087912088,19.11935028,4.130131422,3.434615385,3.89
2,Tonk,Kharif,2007,Castor seed,29.46097561,16.6,44.4,0.727876871,-0.352630649,62.16178862,-0.34239442200000003,-1.131818954,20.35528455,-1.085451944,0.779194009,,,0.779194009,3.25203252,0.25
796,Jaipur,Kharif,2007,Moong,29.46097561,16.6,44.4,0.727876871,-0.352630649,62.16178862,-0.34239442200000003,-1.131818954,20.35528455,-1.085451944,0.779194009,,,0.779194009,3.25203252,0.63
757,Jalna,Kharif,2002,Maize,24.2326087,16.4,33.3,0.459986818,0.064124924,81.49347826,-1.102441632,0.8900686790000001,20.82608696,-1.276255773,2.485519548,6.3315217389999985,3.514111222,14.58812049,4.05326087,2.19
1025,Tonk,Rabi,2002,Gram,28.21463415,18.4,45.2,1.681195056,2.038018409,73.59268293,-1.688798532,1.556670857,21.85365854,-2.275271644,4.474933163999999,,,4.474933163999999,3.052845528,0.76
630,Bhagalpur,Whole year,2001,Potato,14.5339726,-5.5,34.5,-0.05302818,-1.25901502,43.20164384,0.643550201,-0.449025946,1.126849315,0.18399641,-0.6812505409999999,,,-0.6812505409999999,2.545479452,10.15
2658,Dharwad,Kharif,2012,Niger seed,25.19444444,20.7,38.2,0.592967221,-0.344289435,78.54,-1.314087902,1.28725878,21.14666667,-1.682284572,4.384438437,,,,5.126666667,0.24
899,Ahmedabad,Whole year,2008,Dry chillies,28.37178082,13.0,42.5,0.027854006,-0.184263919,47.18410959,0.681201046,-0.990409207,14.58493151,-0.053223597,-1.322235606,3.226027397,4.923072401000001,-1.322235606,2.884657534,1.0
1822,Coimbatore,Kharif,2006,Small millets,25.67763158,19.7,33.4,0.204718895,-0.235830414,69.34539474,0.098852863,-0.479313319,19.58355263,-0.248184322,0.380584724,6.798684211,2.018568359,3.686351528,4.916447368,1.0
1157,Ahmedabad,Rabi,1998,Rapeseed & mustard,25.07682119,12.6,36.9,-0.204042395,-0.8509261690000001,43.43509934,0.8054113509999999,-0.285289602,10.87483444,-0.310458766,-0.101806542,0.331125828,5.373252951,-0.101806542,2.176821192,1.0
685,Banswara,Whole year,1999,Potato,28.08164384,13.6,43.7,0.449514926,-0.50533035,39.75945205,0.803831746,-0.471592493,11.23835616,0.032596588,-1.1363976690000002,,,-1.1363976690000002,3.304383562,1.5
604,Jaipur,Kharif,2001,Small millets,31.73495935,21.4,43.2,-0.06742538,-0.70349738,47.71138211,0.520504938,-0.935283885,18.02764228,-0.354585721,-0.759087745,,,-0.759087745,3.519512195,1.0
2638,Tonk,Kharif,2002,Niger seed,28.21463415,18.4,45.2,1.681195056,2.038018409,73.59268293,-1.688798532,1.556670857,21.85365854,-2.275271644,4.474933163999999,,,4.474933163999999,3.052845528,0.27
2844,Banswara,Whole year,2006,Garlic,27.82849315,10.8,42.0,-0.07130329,-0.306885764,41.16136986,0.924495949,-0.024316502,12.12136986,0.135054554,-1.105582403,,,-1.105582403,3.10109589,0.5
805,Bhagalpur,Kharif,2011,Small millets,19.35528455,7.5,31.4,-0.001581283,0.734340172,71.32682927,-0.924504872,0.357836812,13.78455285,-0.587288853,-0.201267385,4.843902439,3.799001156,-0.201267385,2.11300813,0.75
861,Dharwad,Whole year,2003,Sannhamp,23.41764706,21.1,28.2,0.633642469,0.573983853,86.28125,0.150594691,-0.4164328470000001,21.0375,0.151997682,-0.997992333,,,,6.6375,0.25
1103,Coimbatore,Kharif,2001,Bajra,25.13881579,15.6,34.8,1.004186459,1.678954647,72.9375,-0.931120318,0.94705276,19.77894737,-1.97767687,5.674409418,6.615131579,2.971615477,9.914767558,4.5921052630000005,1.91
1740,Gulberga,Summer,1998,Sunflower,30.96803279,17.2,42.5,-0.393111122,-0.913368152,37.21393443,0.914587399,0.356690971,13.62540984,-0.287097087,0.089042762,0.3795081970000001,5.385820541,0.089042762,3.0581967210000003,0.57
1676,Gulberga,Whole year,2005,Cotton,27.03205479,11.6,41.7,0.238466979,-0.638845866,50.60986301,0.180694986,-1.121450328,14.50849315,-0.474248394,-0.7544882820000001,3.424931507,3.850086539,-0.7544882820000001,3.283287671,3.61
2601,Gulberga,Rabi,2006,Sunflower,23.81900826,13.3,33.4,0.139891445,-0.625167679,58.81157025,0.199228343,-0.5404039,14.7338843,-1.166599067,1.174443016,0.867768595,7.270779738,1.174443016,2.52231405,0.41
250,Banswara,Kharif,2010,Rice,27.53495935,15.7,41.3,1.015816028,0.917846552,70.78211382,-0.85847488,-0.08702291,21.31382114,-1.401507473,2.419025191,,,2.419025191,3.444715447,0.65
12,Banglore,Kharif,2007,Groundnut,26.021296300000003,16.5,34.2,0.487994404,-0.777858863,72.92777778,-0.731797687,0.08790717199999999,20.62407407,-1.7015996290000002,3.767065332,9.4,2.067511201,3.774307982,3.875925926,0.97
1566,Jalna,Rabi,2009,Safflower,25.92216405,12.1,47.5,0.62625598,-0.422665063,52.07609075,-0.111966551,-1.232406895,13.66928447,-0.261493084,-1.104473869,2.15,4.979702487,26.35690918,3.642582897,0.59
1453,Banswara,Kharif,1999,Rice,28.43902439,22.0,38.0,0.08966364199999999,-0.84031594,62.06341463,0.029205764,-0.835141247,19.97723577,-1.399619489,4.012260003,,,4.012260003,4.33495935,0.66
2641,Hisar,Rabi,2010,Masoor,30.59032258,9.3,48.5,0.530918855,-0.306816037,60.71806452,-0.6374685170000001,-0.80053782,20.75225806,-0.964178151,0.132287767,,,0.132287767,2.759354839,0.0
300,Ahmedabad,Kharif,1998,Cotton,28.75751634,15.4,43.2,1.268928698,1.909528082,70.44052288,-1.129249926,0.316944868,22.31830065,-2.463371507,7.230375162,5.920915032999999,3.038831362,7.230375162,3.02875817,1.639261745
306,Tonk,Kharif,2006,Urad,29.38861789,18.8,43.6,0.714773511,-0.47001029,58.93658537,-0.176973378,-1.528363351,19.17479675,-0.838352465,-0.37948154,,,-0.37948154,2.992682927,0.5
2650,Ahmedabad,Whole year,2001,Dry chillies,24.9,18.4,31.2,,,33.8,,,7.8,,,,,,1.8,1.0
2408,Indore,Rabi,2002,Gram,25.91666667,13.5,37.0,-0.298790359,-1.033276477,38.37833333,2.037811285,1.613547071,9.836666667000001,0.7864043940000001,0.573390847,0.036666667,56.31581609,7.425087115,1.76,0.65
1700,Bhagalpur,Whole year,2007,Sweet potato,13.21205479,-8.5,34.5,-0.191143844,-1.005102673,55.04054795,0.076089278,-1.16499029,3.346027397,0.037027239,-1.079730764,,,-1.079730764,2.7002739730000003,13.31
676,Rewari,Rabi,2009,Gram,24.25245902,5.4,50.1,0.331954739,-0.768941656,42.34462659,0.521798625,-0.491756667,9.063934426,0.504018862,-0.913274383,1.0801169590000002,5.0733299910000005,28.36542941,2.525318761,0.0
371,Banswara,Kharif,2003,Cotton,26.55121951,19.3,36.5,0.730351808,-0.058418842,77.20406504,-1.009420754,0.327088873,22.05365854,-1.185431948,2.561315095,,,2.561315095,3.267479675,2.98
609,Ahmedabad,Kharif,2011,Moong,28.64117647,12.5,44.0,1.7694845019999998,3.65907056,76.14771242,-0.6891763390000001,-0.630238353,23.92679739,-1.477530842,1.333825139,,,1.333825139,4.318954248,0.473684211
352,Banswara,Kharif,2001,Rice,29.32439024,21.9,41.8,0.6149757060000001,0.298878122,61.03821138,-0.374288189,-0.726516583,20.24552846,-1.199166871,1.072330071,,,1.072330071,4.045528455,0.34
1378,Ahmedabad,Kharif,2002,Cotton,29.33006536,16.5,40.0,0.513335156,-0.457862966,59.80457516,-0.4536728820000001,-0.931078253,19.50915033,-1.157442634,0.239474101,3.120915033,4.85565811,0.239474101,3.294117647,0.690200852
192,Banswara,Rabi,2004,Rapeseed & mustard,25.23516484,12.1,37.9,-0.369570105,-0.64345249,34.48351648,1.846684331,3.729294807,7.52967033,0.013587188,-0.93994179,,,-0.93994179,2.623076923,0.82
40,Coimbatore,Whole year,2007,Sesamum,24.9,13.3,35.8,-0.200892866,0.08272874200000001,70.93983516,-0.499927674,-0.69695342,19.07884615,-0.851408299,-0.027269661,5.443681319,2.721245605,7.836997563,3.5434065930000003,0.27
2743,Coimbatore,Whole year,2011,Onion,23.84835165,14.2,35.8,-0.5768857470000001,-0.012043381,78.43873626,-0.946545098,1.0508047740000002,19.84835165,-1.043918354,0.609759901,,,,3.038736264,11.94
1426,Banglore,Kharif,2005,Horse-gram,25.67777778,18.5,35.0,0.354929848,-0.6522950989999999,71.82777778,-0.979715769,0.919261694,19.99351852,-2.023238885,5.063679571000001,9.423148148,2.272195275,5.02977903,4.221296296,0.76
2100,Gulberga,Whole year,1999,Garlic,26.55424658,13.0,42.7,0.705055436,-0.434027899,51.13643836,0.197808321,-1.370338035,13.99835616,-0.120207089,-1.470779347,2.263287671,4.519300242,-1.470779347,3.285479452,3.0
2148,Coimbatore,Whole year,2006,Arhar/tur,24.94835165,12.8,38.4,0.242190892,0.3782784420000001,68.86758242,-0.6942300440000001,0.219512833,18.58818681,-1.827887992,4.303297938,4.593406593,2.625723386,7.020914534,3.666758242,0.73
1500,Hisar,Kharif,2004,Moong,28.59806452,7.8,43.2,-0.5008830439999999,-0.390295939,57.44258065,-0.079472217,-1.018675599,18.46580645,-0.7736824640000001,-0.26148676,2.0645161290000003,5.00267586,-0.26148676,1.922580645,0.4
196,Jaipur,Kharif,2011,Moth,26.56504065,15.7,36.0,-0.202626609,0.193890867,79.59430894,-1.28792252,1.244558955,22.68780488,-1.350922598,1.779327418,5.008943089,2.188967388,1.779327418,3.019512195,0.34
1149,Dharwad,Whole year,2011,Arecanut,24.18983516,13.3,41.2,0.657767346,0.138167083,72.78956044,-1.072077299,0.35573006700000004,18.59313187,-0.974107023,-0.227557713,,,,3.775,8.13
259,Bhagalpur,Whole year,2004,Coriander,13.38273973,-5.9,35.1,-0.043087455,-1.292444493,60.80246575,-0.331105812,-1.038876542,5.099726027,0.13803842300000002,-1.220693566,,,-1.220693566,2.63369863,0.65
1512,Banglore,Kharif,2002,Other kharif pulses,24.86944444,16.4,37.2,1.821890292,3.190515984,77.2,-1.654097695,2.233512158,20.28425926,-1.895442254,4.010480511,5.396296296,3.849747972,17.56836963,3.766666667,0.17
73,Banglore,Rabi,2009,Rapeseed & mustard,25.92216405,12.1,47.5,0.62625598,-0.422665063,52.07609075,-0.111966551,-1.232406895,13.66928447,-0.261493084,-1.104473869,2.15,4.979702487,26.35690918,3.642582897,0.29
696,Coimbatore,Whole year,2008,Banana,23.53571429,14.1,33.0,-0.402703902,0.7583376629999999,80.86126374,-0.350623353,-0.033748776,20.06263736,-1.104196466,0.721946761,4.682417582,2.685612948,8.02488601,2.910164835,49.74
840,Dharwad,Kharif,2010,Sesamum,25.06111111,20.4,40.1,0.8031358959999999,0.242903719,79.04111111,-1.47588082,1.275894509,21.07,-0.899988131,0.655522866,5.665555556,7.975732087999999,2.775746531,5.084444444,0.57
2763,Gulberga,Whole year,2010,Turmeric,27.03178082,10.7,48.5,0.701059007,-0.390273235,61.46657534,-0.5402543439999999,-1.08225412,17.62767123,-0.955262225,-0.064868624,,,-0.064868624,4.140273973,2.21
820,Rewari,Whole year,2005,Onion,23.98379121,2.3,44.7,-0.385472988,-1.002437198,46.62527473,0.336387965,-0.937881548,10.29010989,0.104715224,-1.055956799,1.852747253,6.3359025660000015,52.14177557,2.201373626,16.37426901
1936,Ahmedabad,Kharif,2010,Other kharif pulses,29.3,15.0,45.7,1.893076445,4.2267865539999985,72.30522876,-0.7258764409999999,-0.236032636,23.63921569,-1.383345389,1.454203648,,,1.454203648,4.058169935,0.5
1983,Coimbatore,Kharif,1999,Horse-gram,25.70394737,20.0,36.9,1.181141424,1.730646729,66.79210526,-1.093754072,1.552879628,18.85,-2.437714851,8.002811312999999,6.980263158,2.197077789,4.908669529,4.723684211,0.38
730,Gulberga,Whole year,2003,Sannhamp,26.1939726,13.3,42.8,1.013218129,0.417956774,61.65945205,-0.066031214,-1.476389018,17.36657534,-0.7980204740000001,-0.109983019,1.773150685,5.51111574,-0.109983019,3.036986301,0.25
2325,Jalna,Rabi,1998,Gram,26.47574171,11.4,42.5,0.396709989,-0.63634268,51.01186736,0.18446982,-1.161248235,14.01972077,-0.159017797,-1.160295895,2.621640489,5.45461945,35.80750367,2.841710297,0.52
2595,Jaipur,Kharif,1997,Maize,27.74796748,9.5,40.4,1.47579887,1.6777651409999998,75.44552846,-1.688493588,2.017872654,22.52357724,-2.16907143,5.191889853999999,,,5.191889853999999,2.58699187,1.33
2727,Gulberga,Kharif,1997,Horse-gram,27.06747967,35.0,14.4,0.029661826,-0.734819088,64.11463415,0.07666559099999999,-0.8196368159999999,19.44146341,-0.637053851,-0.369147536,3.944715447,2.251561724,-0.369147536,4.655284553,0.21
1232,Banswara,Whole year,2008,Dry chillies,26.72630137,9.8,43.9,0.17081911600000002,-0.36206429,48.37616438,0.616785745,-0.747995258,13.59671233,0.009002378,-1.192289427,,,-1.192289427,2.924383562,0.3
1877,Banswara,Kharif,2011,Other kharif pulses,26.6796748,16.7,36.4,0.8854486229999999,1.109106657,75.73414634,-0.76733806,-0.091980744,21.92845528,-1.164563114,1.912524106,7.4,2.350191518,1.912524106,3.424390244,0.69
407,Gulberga,Summer,1999,Maize,31.0647541,19.4,42.7,-0.437808924,-1.135782953,32.75327869,1.436180597,1.114684807,11.27377049,0.687148808,-0.14147186,0.925409836,4.812256954,-0.14147186,2.989344262,1.83
365,Jaipur,Rabi,2008,Linseed,28.13902439,17.1,43.8,1.563501932,1.730665243,67.09837398,-0.8590241829999999,-0.625347553,20.3804878,-1.336807502,0.405499702,,,0.405499702,2.856910569,0.87
1244,Gulberga,Rabi,2009,Sunflower,23.37438017,12.4,36.8,-0.16264044,0.168187668,63.28347107,0.203716622,-0.33570878200000004,15.78760331,-0.229797385,-0.038660452000000005,,,-0.038660452000000005,2.862809917,0.34
651,Bhagalpur,Kharif,1998,Maize,20.59918699,8.9,34.8,0.4395988420000001,0.058014689,70.97317073,-1.286779059,0.166047592,14.10894309,-0.898441136,-0.420232007,,,-0.420232007,2.401626016,1.32
1270,Banglore,Whole year,2010,Tapioca,27.9793956,25.7,30.8,0.43615257,-0.080637082,77.17939559999998,-1.066518286,0.919274883,23.65934066,-1.037120983,0.905898744,,,,5.56978022,11.0
591,Rewari,Rabi,2008,Rapeseed & mustard,23.01566485,1.6,46.3,-0.113578849,-0.8014031420000001,45.88051002,0.462966606,-0.942303609,9.160837887000001,0.108782955,-0.872532366,1.50582878,5.243163755,33.07314827,2.419489982,1.988252614
2687,Jalna,Rabi,2009,Jowar,25.92216405,12.1,47.5,0.62625598,-0.422665063,52.07609075,-0.111966551,-1.232406895,13.66928447,-0.261493084,-1.104473869,2.15,4.979702487,26.35690918,3.642582897,1.03
1800,Hisar,Rabi,1998,Wheat,29.60129032,4.7,44.5,0.252948726,0.315321597,55.72774194,-0.022672621,-1.361099779,18.62193548,-0.86127106,-0.070157337,4.221290323,3.231576879,-0.070157337,1.92,3.97
1146,Gulberga,Whole year,1997,Garlic,27.5293956,12.1,42.3,0.220735165,-0.548269731,49.77582418,0.149929526,-1.143216103,14.81291209,-0.620531549,-0.589478204,1.99478022,3.486706109,-0.589478204,3.279395604,3.0
2248,Dharwad,Rabi,2003,Linseed,24.14,19.1,31.7,0.779454056,1.4305609380000002,81.13111111,-2.385173092,6.485106008,20.65888889,-2.235011971,5.68726366,3.077777778,5.245318615,2.320304781,3.422222222,0.07
564,Bhagalpur,Kharif,2005,Castor seed,20.57398374,6.3,33.2,-0.048621277,0.25225258,66.14878049,-1.073692926,-0.231787021,12.99918699,-1.303918401,1.278625841,,,1.278625841,2.386178862,1.0
626,Gulberga,Summer,2011,Sunflower,26.09837398,38.3,20.3,0.538094167,-0.230734857,74.50487805,-0.417417357,-0.612204055,21.19430894,-0.720334958,0.060830446,,,0.060830446,6.360162602000001,0.55
2412,Bhagalpur,Rabi,2011,Masoor,11.99589041,-7.8,31.4,-0.195203021,-1.293020691,60.41369863,-0.21696976,-1.022020473,3.978630137,0.063340126,-1.076414913,,,-1.076414913,2.492054795,1.02
2151,Jalna,Kharif,2000,Small millets,24.95217391,14.8,32.9,0.141194293,-0.067503696,76.7,-0.5091418320000001,-0.082015195,20.5,-1.718562156,4.288684067,4.705434783,2.670129532,7.905787062000001,3.788043478,0.58
1999,Bhagalpur,Kharif,2003,Arhar/tur,20.48455285,9.1,33.5,0.607135565,-0.080830931,57.58455285,-0.246557176,-1.172139307,10.80325203,-0.548615145,-0.305394321,,,-0.305394321,2.13495935,1.35
1199,Jaipur,Kharif,2006,Sesamum,29.38861789,18.8,43.6,0.714773511,-0.47001029,58.93658537,-0.176973378,-1.528363351,19.17479675,-0.838352465,-0.37948154,,,-0.37948154,2.992682927,0.22
2585,Indore,Kharif,2001,Arhar/tur,18.10666667,7.0,29.0,0.217510956,-1.017392652,39.11333333,-0.375492054,0.212980865,3.616666667,-1.019395834,0.402503375,0.01,30.0,5.477225575,2.203333333,0.63
2811,Hisar,Kharif,2008,Rice,29.47419355,-0.1,47.2,0.613078815,0.6775666459999999,62.23870968,-0.320432219,-0.327270107,21.01612903,-0.949162772,0.248381106,3.173548387,3.46890267,0.248381106,2.8819354839999995,2.72
1942,Rewari,Rabi,1999,Wheat,21.99872495,1.9,42.7,-0.057984669,-1.152552741,47.84899818,0.58862915,-0.5907211170000001,9.359016393,0.472351406,-1.111822805,0.8440801459999999,6.818630425,56.18610302,2.155737705,4.0094295839999985
